File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF872UHN	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF414SKU/	2980089	ENCODE Processing Pipeline	2207b7b3378df7776e7ecdc2aa1a5de0		https://www.encodeproject.org/files/ENCFF872UHN/@@download/ENCFF872UHN.bigBed				released	s3://encode-public/2020/09/21/c38cd923-008e-4c39-a49f-feaf05263d93/ENCFF872UHN.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/c38cd923-008e-4c39-a49f-feaf05263d93/ENCFF872UHN.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF935UTO	fastq	fastq		reads		ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_2	76		single-ended					678759963	Bradley Bernstein, Broad	dcccbc155e335bdf2ca50a6e743a0b2c	SRA:SRR10838580	https://www.encodeproject.org/files/ENCFF935UTO/@@download/ENCFF935UTO.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/a16c899c-66b8-4b70-b0dd-05caa76a3648/ENCFF935UTO.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/04/27/a16c899c-66b8-4b70-b0dd-05caa76a3648/ENCFF935UTO.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF653PKW	fastq	fastq		reads		ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_2	76		single-ended					674758877	Bradley Bernstein, Broad	f424b99a7b58175a07a28716e5b6449a	SRA:SRR10838581	https://www.encodeproject.org/files/ENCFF653PKW/@@download/ENCFF653PKW.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/04/27/6c4afa1d-7789-4ae8-8148-b3b73222452f/ENCFF653PKW.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/04/27/6c4afa1d-7789-4ae8-8148-b3b73222452f/ENCFF653PKW.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF788VWD	bam	bam		unfiltered alignments	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF226YFN/, /files/ENCFF643CGH/, /files/ENCFF235IVE/, /files/ENCFF935UTO/, /files/ENCFF653PKW/	3295029503	ENCODE Processing Pipeline	e37a5e9660b6e07e70c48dd305162e1c		https://www.encodeproject.org/files/ENCFF788VWD/@@download/ENCFF788VWD.bam				released	s3://encode-public/2019/07/17/4fc88626-db67-46ec-bb03-cf504f1b777f/ENCFF788VWD.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/4fc88626-db67-46ec-bb03-cf504f1b777f/ENCFF788VWD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF092THZ	bam	bam		alignments	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF226YFN/, /files/ENCFF643CGH/, /files/ENCFF235IVE/, /files/ENCFF935UTO/, /files/ENCFF653PKW/	2758291976	ENCODE Processing Pipeline	86ed94c1ec82dfe058ced166cc47e1a6		https://www.encodeproject.org/files/ENCFF092THZ/@@download/ENCFF092THZ.bam				released	s3://encode-public/2019/07/17/5360aec1-097c-44c0-bc59-7338acd022da/ENCFF092THZ.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/5360aec1-097c-44c0-bc59-7338acd022da/ENCFF092THZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF250QOQ	bam	bam		unfiltered alignments	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF226YFN/, /files/ENCFF807MUK/, /files/ENCFF235IVE/, /files/ENCFF935UTO/, /files/ENCFF653PKW/	3289799240	ENCODE Processing Pipeline	e8e07f0b38d4dbf1b525238d55a29938		https://www.encodeproject.org/files/ENCFF250QOQ/@@download/ENCFF250QOQ.bam				released	s3://encode-public/2019/07/17/1b67b799-56b5-4a8e-98bb-12a5bb495ac7/ENCFF250QOQ.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/1b67b799-56b5-4a8e-98bb-12a5bb495ac7/ENCFF250QOQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF191RAO	bam	bam		alignments	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF226YFN/, /files/ENCFF807MUK/, /files/ENCFF235IVE/, /files/ENCFF935UTO/, /files/ENCFF653PKW/	2756357914	ENCODE Processing Pipeline	4d5f34d45e5bedc5030f5c782463bfaa		https://www.encodeproject.org/files/ENCFF191RAO/@@download/ENCFF191RAO.bam				released	s3://encode-public/2019/07/17/70be6f58-73e6-43b0-99f6-f8a494ce28b2/ENCFF191RAO.bam	https://datasetencode.blob.core.windows.net/dataset/2019/07/17/70be6f58-73e6-43b0-99f6-f8a494ce28b2/ENCFF191RAO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF193RGE	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF349BOR/, /files/ENCFF191RAO/	1815424	ENCODE Processing Pipeline	692fbf7bf23c7289f5c32126d5c362a6		https://www.encodeproject.org/files/ENCFF193RGE/@@download/ENCFF193RGE.bed.gz				released	s3://encode-public/2019/07/24/fc2e7e53-6764-45b2-9fdc-7829f6835682/ENCFF193RGE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/fc2e7e53-6764-45b2-9fdc-7829f6835682/ENCFF193RGE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF235VSS	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF193RGE/	4748618	ENCODE Processing Pipeline	4e79ee444388adb2a370fb1358eef830		https://www.encodeproject.org/files/ENCFF235VSS/@@download/ENCFF235VSS.bigBed				released	s3://encode-public/2019/07/24/a24453b3-cb19-4530-9d94-ed6e7ca04505/ENCFF235VSS.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/a24453b3-cb19-4530-9d94-ed6e7ca04505/ENCFF235VSS.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF217LCE	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF866OFO/	4776580	ENCODE Processing Pipeline	d19c74e08c7de757d43d2f3f6790b729		https://www.encodeproject.org/files/ENCFF217LCE/@@download/ENCFF217LCE.bigBed				released	s3://encode-public/2019/07/24/3eaf7c0a-a86a-45e9-b576-2e3319ac6076/ENCFF217LCE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/3eaf7c0a-a86a-45e9-b576-2e3319ac6076/ENCFF217LCE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF866OFO	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF092THZ/, /files/ENCFF535IMT/	1827467	ENCODE Processing Pipeline	4d541114064e87afb062336fd0b0828b		https://www.encodeproject.org/files/ENCFF866OFO/@@download/ENCFF866OFO.bed.gz				released	s3://encode-public/2019/07/24/4bdfd376-97f6-4d90-ae29-0a33911fd35c/ENCFF866OFO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/4bdfd376-97f6-4d90-ae29-0a33911fd35c/ENCFF866OFO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF327HXZ	bigWig	bigWig		signal p-value	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF092THZ/, /files/ENCFF535IMT/	1272300209	ENCODE Processing Pipeline	51dcdc6aed934e62afd9a9df9b8d4c2a		https://www.encodeproject.org/files/ENCFF327HXZ/@@download/ENCFF327HXZ.bigWig				released	s3://encode-public/2019/07/24/a37f0328-5a2d-4ea1-a60c-22548b89f29a/ENCFF327HXZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/a37f0328-5a2d-4ea1-a60c-22548b89f29a/ENCFF327HXZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF507VUO	bigWig	bigWig		signal p-value	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF349BOR/, /files/ENCFF191RAO/	1409287693	ENCODE Processing Pipeline	58b5e1d02d06fce5fde9d027a51b5655		https://www.encodeproject.org/files/ENCFF507VUO/@@download/ENCFF507VUO.bigWig				released	s3://encode-public/2019/07/24/be44abdd-2697-454a-86fa-d37b6a9dedd9/ENCFF507VUO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/be44abdd-2697-454a-86fa-d37b6a9dedd9/ENCFF507VUO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF372UBP	bigWig	bigWig		fold change over control	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF092THZ/, /files/ENCFF535IMT/	1373456031	ENCODE Processing Pipeline	7f7bee41332e4793721718fa17988e9d		https://www.encodeproject.org/files/ENCFF372UBP/@@download/ENCFF372UBP.bigWig				released	s3://encode-public/2019/07/24/28ed51ae-eae4-4c0c-96ba-9ea872da6cc2/ENCFF372UBP.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/28ed51ae-eae4-4c0c-96ba-9ea872da6cc2/ENCFF372UBP.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF757ULO	bigWig	bigWig		fold change over control	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF349BOR/, /files/ENCFF191RAO/	1368859174	ENCODE Processing Pipeline	d4d046eab2d2173421ac590a8904a17d		https://www.encodeproject.org/files/ENCFF757ULO/@@download/ENCFF757ULO.bigWig				released	s3://encode-public/2019/07/24/c05ba727-23f1-4588-bf01-aaba26eb0b85/ENCFF757ULO.bigWig	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/c05ba727-23f1-4588-bf01-aaba26eb0b85/ENCFF757ULO.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF843KKF	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF866OFO/	1521626	ENCODE Processing Pipeline	49c16a527d91daea8c7dc33cbf0b83dc		https://www.encodeproject.org/files/ENCFF843KKF/@@download/ENCFF843KKF.bed.gz				released	s3://encode-public/2019/07/24/bf4fac19-b781-4f96-808e-beef7fee9fad/ENCFF843KKF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/bf4fac19-b781-4f96-808e-beef7fee9fad/ENCFF843KKF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF507EYU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF193RGE/	1509865	ENCODE Processing Pipeline	6eb37ae30d97201cb3fadcf1f7aa792e		https://www.encodeproject.org/files/ENCFF507EYU/@@download/ENCFF507EYU.bed.gz				released	s3://encode-public/2019/07/24/7a5f5a44-bbc7-43a6-b4ba-71d32f5dbeea/ENCFF507EYU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/7a5f5a44-bbc7-43a6-b4ba-71d32f5dbeea/ENCFF507EYU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF683OKQ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF843KKF/	3014929	ENCODE Processing Pipeline	135283355fcf52550ade025d45cb1c99		https://www.encodeproject.org/files/ENCFF683OKQ/@@download/ENCFF683OKQ.bigBed				released	s3://encode-public/2019/07/24/c766b70a-66b0-405c-8e76-3dc19d1a8135/ENCFF683OKQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/c766b70a-66b0-405c-8e76-3dc19d1a8135/ENCFF683OKQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived			
ENCFF632FJQ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	hg19	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF507EYU/	2994097	ENCODE Processing Pipeline	1ea56bd72f9452bf129791f5afabd989		https://www.encodeproject.org/files/ENCFF632FJQ/@@download/ENCFF632FJQ.bigBed				released	s3://encode-public/2019/07/24/70c94934-8dde-4c92-b939-d895fbb51a78/ENCFF632FJQ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2019/07/24/70c94934-8dde-4c92-b939-d895fbb51a78/ENCFF632FJQ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived			
ENCFF226YFN	fastq	fastq		reads		ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1	76		single-ended					1213195533	Bradley Bernstein, Broad	107c4f49d5c9cd6e819e3a5190f73da8	SRA:SRR10838582	https://www.encodeproject.org/files/ENCFF226YFN/@@download/ENCFF226YFN.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/12/06/4d6ad49e-4623-41c2-b386-cb003404e39c/ENCFF226YFN.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/4d6ad49e-4623-41c2-b386-cb003404e39c/ENCFF226YFN.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF235IVE	fastq	fastq		reads		ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1	76		single-ended					1164440913	Bradley Bernstein, Broad	21e3ca8c6a27c99fc108d69e7e46faea	SRA:SRR10838583	https://www.encodeproject.org/files/ENCFF235IVE/@@download/ENCFF235IVE.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2017/12/06/6b6feb34-8f73-4a65-a246-a596c2b7b809/ENCFF235IVE.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/06/6b6feb34-8f73-4a65-a246-a596c2b7b809/ENCFF235IVE.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
ENCFF789FIZ	bam	bam		unfiltered alignments	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF235IVE/, /files/ENCFF653PKW/, /files/ENCFF110MCL/, /files/ENCFF226YFN/, /files/ENCFF935UTO/	3297929591	ENCODE Processing Pipeline	9331fae0047817e7218b3313ed7db252		https://www.encodeproject.org/files/ENCFF789FIZ/@@download/ENCFF789FIZ.bam				released	s3://encode-public/2020/09/21/9aa8f139-092d-46ac-aac0-7c6b7934a288/ENCFF789FIZ.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/9aa8f139-092d-46ac-aac0-7c6b7934a288/ENCFF789FIZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF633SJK	bam	bam		alignments	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2		76					/files/ENCFF235IVE/, /files/ENCFF653PKW/, /files/ENCFF110MCL/, /files/ENCFF226YFN/, /files/ENCFF935UTO/	2786120101	ENCODE Processing Pipeline	3a48ef1497c3a94721700ff716f446c2		https://www.encodeproject.org/files/ENCFF633SJK/@@download/ENCFF633SJK.bam				released	s3://encode-public/2020/09/21/f25f68e0-b958-4912-afab-6158bf881661/ENCFF633SJK.bam	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/f25f68e0-b958-4912-afab-6158bf881661/ENCFF633SJK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF414SKU	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR937EVN	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens										H3K27ac-human	DNA						2019-08-01	ENCODE		sonication (generic), none	200-600	1	1_1, 1_2							/files/ENCFF076ONX/, /files/ENCFF356LFX/, /files/ENCFF633SJK/	1512016	ENCODE Processing Pipeline	392d9179e205410cddb37c9c785e7753		https://www.encodeproject.org/files/ENCFF414SKU/@@download/ENCFF414SKU.bed.gz				released	s3://encode-public/2020/09/21/d8510939-6ae0-49cb-babb-d4e5c79b0662/ENCFF414SKU.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/21/d8510939-6ae0-49cb-babb-d4e5c79b0662/ENCFF414SKU.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF091SMG	bigWig	bigWig		signal p-value	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF230HDI/	1369760242	ENCODE Processing Pipeline	aeaf5ca738adb619c062776d484e03bf		https://www.encodeproject.org/files/ENCFF091SMG/@@download/ENCFF091SMG.bigWig				released	s3://encode-public/2020/09/23/e769a798-7340-46e4-988a-e079623db735/ENCFF091SMG.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/e769a798-7340-46e4-988a-e079623db735/ENCFF091SMG.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF356BMV	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF829IOW/, /files/ENCFF356LFX/, /files/ENCFF230HDI/	209289	ENCODE Processing Pipeline	a7da1ddbb0f9ded376dbec4d7cdfa547		https://www.encodeproject.org/files/ENCFF356BMV/@@download/ENCFF356BMV.bed.gz				released	s3://encode-public/2020/09/23/e244f326-9962-4c81-9951-0166ec3bcf3e/ENCFF356BMV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/e244f326-9962-4c81-9951-0166ec3bcf3e/ENCFF356BMV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF410VXJ	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_1, 1_2							/files/ENCFF356BMV/	615110	ENCODE Processing Pipeline	245f6059fa89cb6d40118a8cc2ab5c6e		https://www.encodeproject.org/files/ENCFF410VXJ/@@download/ENCFF410VXJ.bigBed				released	s3://encode-public/2020/09/23/ced39344-8945-4e3c-99c8-9052aee18ef3/ENCFF410VXJ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/09/23/ced39344-8945-4e3c-99c8-9052aee18ef3/ENCFF410VXJ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released			
ENCFF471EPP	fastq	fastq		reads		ENCSR475TRZ	Histone ChIP-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens										H3K9me3-human	DNA						2019-02-12	ENCODE		sonication (generic)	200-600	1	1_2	76		single-ended					544508491	Bradley Bernstein, Broad	84411ba03fdc082e71376f59075ab051	SRA:SRR10837921	https://www.encodeproject.org/files/ENCFF471EPP/@@download/ENCFF471EPP.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2019/01/28/ebe9dcbb-18fe-4281-b47a-7b448ce5e723/ENCFF471EPP.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2019/01/28/ebe9dcbb-18fe-4281-b47a-7b448ce5e723/ENCFF471EPP.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			missing controlled_by		
